Variable group;Label;Variable;OSC path;Incoming;Outgoing;UI;Type;Min;Max;Formula (x from 0.0 to 1.0);Unit;enum;Note
Input;Input Number;inputNumber;/remoteInput/inputNumber;no;YES;??;INT;1;64;;;;max is numberOfInputs
Input;Input Name;inputName;/remoteInput/inputName;YES;YES;Text box;STRING;;;;;;
Input;Attenuation;attenuation;/remoteInput/attenuation;YES;YES;V Slider;FLOAT;-92.0;0.0;20*log10(pow(10,-92./20.)+((1-pow(10,-92./20.))*pow(x,2)));dB;;
Input;Latency compensation / Delay;delayLatency;/remoteInput/delayLatency;YES;YES;H Bidirectional slider;FLOAT;-100.0;100.0;(x*200.0)-100.0;ms;;
Input;Minimal Latency;minimalLatency;/remoteInput/minimalLatency;YES;YES;Text button;INT;0;1;;;"Acoustic Precedence; Minimal Latency";
Input;Stereo Width;stereoWidth;/remoteInput/stereoWidth;YES;YES;Dial;FLOAT;0.0;50.0;x*x*x*50.0;m;;Stereo pair leg separation. Visible only on stereo channels (isStereo == 1 in /remote/channelList)
Input;Stereo Axis Offset;stereoAxisOffset;/remoteInput/stereoAxisOffset;YES;YES;Direction dial;INT;-179;180;x*359-179;°;;0 = automatic (the pair spreads perpendicular to the origin-to-source line). Visible only on stereo channels
Input;Stereo Axis Lock;stereoAxisLock;/remoteInput/stereoAxisLock;YES;YES;Text button;INT;0;1;;;"OFF; ON";1 = the pair spreads house left/right turned by stereoAxisOffset alone. Visible only on stereo channels. Needs WFS-DIY 1.0.0beta46 or later
Input;Position X;positionX;/remoteInput/positionX;YES;YES;Number box;FLOAT;0.0;50.0;;m;;incremented or decremented by horizontal axis of JoystickXY
Input;Position Y;positionY;/remoteInput/positionY;YES;YES;Number box;FLOAT;0.0;50.0;;m;;incremented or decremented by vertical axis of JoystickXY
Input;Position Z;positionZ;/remoteInput/positionZ;YES;YES;Number box;FLOAT;0.0;50.0;;m;;incremented or decremented by V slider with return to zero
Input;Cluster;cluster;/remoteInput/cluster;YES;YES;Drop down menu;INT;0.;10;;;"none; Cluster 1; Cluster 2; Cluster 3; Cluster 4; Cluster 5; Cluster 6; Cluster 7; Cluster 8; Cluster 9; Cluster 10";
Input;Max Speed Active;maxSpeedActive;/remoteInput/maxSpeedActive;YES;YES;Text button;INT;0;1;;;"ON; OFF";
Input;Max Speed;maxSpeed;/remoteInput/maxSpeed;YES;YES;Dial;FLOAT;0.01;20.0;x*19.99+0.01;m/s;;
Input;Height Factor;heightFactor;/remoteInput/heightFactor;YES;YES;Dial;INT;0;100;x*100;%;;
Input;Attenuation Law;attenuationLaw;/remoteInput/attenuationLaw;YES;YES;Text button;INT;0;1;;;"Log; 1/d²";
Input;Distance Attenuation;distanceAttenuation;/remoteInput/distanceAttenuation;YES;YES;Dial;FLOAT;-6.0;0.0;(6.0*x)-6.0;dB/m;;visible if AttenuationLaw == 0 (shares the same position as Dial distanceRatio)
Input;Distance Ratio;distanceRatio;/remoteInput/distanceRatio;YES;YES;Dial;FLOAT;0.1;10.0;pow(10.0,(x*2.0)-1.0);x;;visible if AttenuationLaw == 1 (shares the same position as Dial distanceAttenuation)
Input;Common Attenuation;commonAtten;/remoteInput/commonAtten;YES;YES;Dial;INT;0;100;x*100;%;;
Array Attenuation;Array 1;arrayAtten1;/remoteInput/arrayAtten1;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 1 (desktop inputArrayAtten1), default 0.0, dimmed while /remote/vis/outputArrays gives Array 1 no output, still editable
Array Attenuation;Array 2;arrayAtten2;/remoteInput/arrayAtten2;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 2 (desktop inputArrayAtten2), default 0.0, dimmed while /remote/vis/outputArrays gives Array 2 no output, still editable
Array Attenuation;Array 3;arrayAtten3;/remoteInput/arrayAtten3;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 3 (desktop inputArrayAtten3), default 0.0, dimmed while /remote/vis/outputArrays gives Array 3 no output, still editable
Array Attenuation;Array 4;arrayAtten4;/remoteInput/arrayAtten4;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 4 (desktop inputArrayAtten4), default 0.0, dimmed while /remote/vis/outputArrays gives Array 4 no output, still editable
Array Attenuation;Array 5;arrayAtten5;/remoteInput/arrayAtten5;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 5 (desktop inputArrayAtten5), default 0.0, dimmed while /remote/vis/outputArrays gives Array 5 no output, still editable
Array Attenuation;Array 6;arrayAtten6;/remoteInput/arrayAtten6;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 6 (desktop inputArrayAtten6), default 0.0, dimmed while /remote/vis/outputArrays gives Array 6 no output, still editable
Array Attenuation;Array 7;arrayAtten7;/remoteInput/arrayAtten7;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 7 (desktop inputArrayAtten7), default 0.0, dimmed while /remote/vis/outputArrays gives Array 7 no output, still editable
Array Attenuation;Array 8;arrayAtten8;/remoteInput/arrayAtten8;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 8 (desktop inputArrayAtten8), default 0.0, dimmed while /remote/vis/outputArrays gives Array 8 no output, still editable
Array Attenuation;Array 9;arrayAtten9;/remoteInput/arrayAtten9;YES;YES;Dial;FLOAT;-60.0;0.0;20*log10(pow(10,-60./20.)+((1-pow(10,-60./20.))*pow(x,2)));dB;;this input's level to Array 9 (desktop inputArrayAtten9), default 0.0, dimmed while /remote/vis/outputArrays gives Array 9 no output, still editable
